what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334954067752
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334954070410
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334954070931
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334954072459
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334954073236
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334954073484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334954113566
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334954114633
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334954122790
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334954132559
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1334954144880
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1334954147966
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1334954148119
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1334954148286
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1334954148500
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1334954148680
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1334954148897
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1334954149040
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1334954149219
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1334954149434
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1334954150862
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1334954157276
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1334954158064
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334954180223
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334954181920
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334954182640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334954182822
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334954208942
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1334954215956
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334954226925
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334954227419
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334954426160
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334954428935
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334954529531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334954541053
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334954714353
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1334954722018
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334954727040
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334954737488
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334954737997
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334954738136
